_id,transition_date,transition_hour,transport_type_id,road_type,line,transfer_type,number_of_passage,number_of_passenger,product_kind,transaction_type_desc,town,line_name
13,2024-04-01,00,1,OTOYOL,KAVAKPINAR - PENDIK METRO/YHT/PENDIK,Aktarma,1,1,INDIRIMLI2,Indirimli Tip 2 Aktarma,BAKIRKOY,KM24
14,2024-04-01,00,1,OTOYOL,SULTANBEYLI-MECIDIYEKOY,Normal,6,6,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,522ST
15,2024-04-01,00,2,RAYLI,TOPKAPI-HABIBLER,Aktarma,2,2,TAM,Tam Aktarma,EYUPSULTAN,T4
16,2024-04-01,00,2,RAYLI,KADIKOY-KARTAL,Normal,3,3,TAM,Tam Kontur,PENDIK,M4
17,2024-04-01,00,1,OTOYOL,USKUDAR-GUZELTEPE-UMRANIYE DEVLET HASTANESI,Normal,14,14,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,15B
18,2024-04-01,00,1,OTOYOL,GUNESLI-EMINONU,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,97GE
19,2024-04-01,00,1,OTOYOL,CEVIZLIBAG-4.LEVENT,Normal,1,1,TAM,Tam Kontur,BAKIRKOY,500L
20,2024-04-01,00,1,OTOYOL,KAVAKPINAR - PENDIK METRO/YHT/PENDIK,Normal,2,2,UCRETSIZ,Ucretsiz,BAKIRKOY,KM24
21,2024-04-01,00,1,OTOYOL,MIMARSINAN â€“ I.U.AVCILAR KAMPUSU,Aktarma,4,4,TAM,Tam Aktarma,BAKIRKOY,448
22,2024-04-01,00,2,RAYLI,USKUDAR-CEKMEKOY,Normal,3,3,UCRETSIZ,Ucretsiz,USKUDAR,M5
23,2024-04-01,00,1,OTOYOL,CIHANGIR MAH. - AVCILAR - OTOGAR,Aktarma,2,2,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,76O
24,2024-04-01,00,1,OTOYOL,KAYABASI KIPTAS-KAYASEHIR-EMINONU,Normal,1,1,INDIRIMLI1,Indirimli Kontur,PENDIK,79E
25,2024-04-01,00,1,OTOYOL,YUNUS EMRE MAHALLESI. - SISLI,Normal,2,2,INDIRIMLI1,Indirimli Abonman,ATASEHIR,49G
26,2024-04-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,4,4,TAM,Tam Kontur,ESENYURT,34
27,2024-04-01,00,2,RAYLI,KABATAS-MAHMUTBEY,Normal,1,1,INDIRIMLI1,Tam Kontur,,M7
28,2024-04-01,00,1,OTOYOL,HACI OSMAN METRO - KILYOS,Normal,1,1,INDIRIMLI1,Tam Kontur,SARIYER,151
29,2024-04-01,00,1,OTOYOL,GULTEPE - SISLI,Aktarma,2,2,TAM,Tam Aktarma,BAKIRKOY,65G
30,2024-04-01,00,1,OTOYOL,YUNUS EMRE MAHALLESI. - SISLI,Aktarma,1,1,INDIRIMLI2,Indirimli Tip 2 Aktarma,ATASEHIR,49G
31,2024-04-01,00,1,OTOYOL,SULTANBEYLI-UMRANIYE,Normal,1,1,TAM,Tam Abonman,BAKIRKOY,131
32,2024-04-01,00,1,OTOYOL,KIRAC-AVCILAR METROBUS,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,429A
33,2024-04-01,00,1,OTOYOL,SAHINTEPE - AVCILAR-CIHANGIR MAH.,Normal,2,2,TAM,Tam Kontur,EYUPSULTAN,147
34,2024-04-01,00,2,RAYLI,KABATAS-MAHMUTBEY,Normal,1,1,INDIRIMLI1,Tam Kontur,BESIKTAS,M7
35,2024-04-01,00,2,RAYLI,KIRAZLI-BASAKSEHIR/METROKENT,Normal,2,2,INDIRIMLI1,Indirimli Abonman,BAGCILAR,M3
36,2024-04-01,00,1,OTOYOL,ALTUNIZADE-SULTANBEYLI,Aktarma,2,2,INDIRIMLI1,Indirimli Aktarma,ATASEHIR,11ÃœS
37,2024-04-01,00,1,OTOYOL,KADIKOY-ALEMDAG,Normal,2,2,UCRETSIZ,Ucretsiz,BAKIRKOY,14A
38,2024-04-01,00,1,OTOYOL,YUZYIL MAH. - BAKIRKOY,Normal,2,1,INDIRIMLI1,Tam Kontur,KUCUKCEKMECE,98Y
39,2024-04-01,00,1,OTOYOL,KARTAL-YENIDOGAN,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,132S
40,2024-04-01,00,1,OTOYOL,YENIBOSNA (KUYUMCUKENT) - YENIKAPI,Aktarma,2,2,TAM,Tam Aktarma,BAKIRKOY,31
41,2024-04-01,00,1,OTOYOL,AYAZAGAKOYU - KABATAS,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,41E
42,2024-04-01,00,1,OTOYOL,RUMELI KAVAGI - HACI OSMAN METRO,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,SARIYER,25A
43,2024-04-01,00,1,OTOYOL,BASAKSEHIR METROKENT - BAKIRKOY,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,98H
44,2024-04-01,00,2,RAYLI,USKUDAR-CEKMEKOY,Normal,2,2,TAM,Tam Kontur,UMRANIYE,M5
45,2024-04-01,00,1,OTOYOL,KIRAC-AVCILAR METROBUS,Normal,2,2,UCRETSIZ,Ucretsiz,BAKIRKOY,429A
46,2024-04-01,00,1,OTOYOL,KIRAC-AVCILAR METROBUS,Aktarma,5,5,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,429A
47,2024-04-01,00,1,OTOYOL,KADIKOY-KAYISDAGI MAHALLESI,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,19
48,2024-04-01,00,1,OTOYOL,TUZLA-TOPKAPI,Normal,16,16,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,500T
49,2024-04-01,00,2,RAYLI,BAHARIYE-OLIMPIYAT,Normal,1,1,INDIRIMLI1,Indirimli Abonman,KUCUKCEKMECE,M9
50,2024-04-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,INDIRIMLI1,Indirimli Abonman,BAHCELIEVLER,34
51,2024-04-01,00,1,OTOYOL,KADIKOY-SARIGAZI-YENIDOGAN,Normal,3,3,TAM,Tam Kontur,PENDIK,19S
52,2024-04-01,00,1,OTOYOL,SULTANBEYLI-MECIDIYEKOY,Aktarma,1,1,TAM,Tam Aktarma,BAKIRKOY,522ST
53,2024-04-01,00,1,OTOYOL,ADEM YAVUZ MAH-ZIVERBEY-KADIKOY,Aktarma,1,1,INDIRIMLI1,Tam Aktarma,BAKIRKOY,14B
54,2024-04-01,00,1,OTOYOL,ISTINYE DEREICI - FERAHEVLER - KABATAS,Normal,3,3,UCRETSIZ,Ucretsiz,BAKIRKOY,29D
55,2024-04-01,00,1,OTOYOL,YENIDOGAN/ATASEHIR - KADIKOY,Aktarma,2,2,INDIRIMLI1,Tam Aktarma,BAKIRKOY,19EK
56,2024-04-01,00,2,RAYLI,YENIKAPI - HACIOSMAN,Normal,3,3,TAM,Tam Kontur,SISLI,M2
57,2024-04-01,00,1,OTOYOL,TASOLUK PERONLAR- TEKSTILKENT METRO,Normal,1,1,TAM,Tam Abonman,KUCUKCEKMECE,336G
58,2024-04-01,00,1,OTOYOL,SABIHAGOKCEN HAVA LIMANI - KADIKOY,Normal,5,5,INDIRIMLI1,Tam Kontur,BAKIRKOY,E-11
59,2024-04-01,00,1,OTOYOL,KIRAC-AVCILAR METROBUS,Normal,8,8,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,429A
60,2024-04-01,00,3,DENÄ°Z,Y.KADIKOY-EMINONU,Normal,1,1,INDIRIMLI1,Indirimli Abonman,KADIKOY,Y.KADIKOY-EMN
61,2024-04-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,7,7,INDIRIMLI1,Indirimli Abonman,SISLI,34
62,2024-04-01,00,1,OTOYOL,MIMARSINAN â€“ I.U.AVCILAR KAMPUSU,Normal,2,2,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,448
63,2024-04-01,00,1,OTOYOL,TUZLA-TOPKAPI,Normal,1,1,INDIRIMLI1,Tam Kontur,BAKIRKOY,500T
64,2024-04-01,00,1,OTOYOL,KADIKOY-CAKMAK MAH-ATASEHIR,Normal,1,1,INDIRIMLI1,Tam Kontur,BAKIRKOY,13
65,2024-04-01,00,1,OTOYOL,KADIKOY-USKUDAR,Normal,31,31,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,12A
66,2024-04-01,00,1,OTOYOL,BOGAZKOY MH.-BAHCESEHIR-BAKIRKOY,Normal,12,12,TAM,Tam Kontur,BAKIRKOY,146
67,2024-04-01,00,1,OTOYOL,KAGITHANE - KABATAS,Normal,2,2,TAM,Tam Kontur,BAKIRKOY,62
68,2024-04-01,00,1,OTOYOL,BASAKSEHIR METROKENT-EMINONU,Normal,16,14,TAM,Tam Kontur,BAKIRKOY,78
69,2024-04-01,00,1,OTOYOL,YENIBOSNA (KUYUMCUKENT) - YENIKAPI,Normal,2,2,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,31
70,2024-04-01,00,1,OTOYOL,CEBECI PERONLAR - SISLI,Normal,11,11,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,49
71,2024-04-01,00,2,RAYLI,YENIKAPI - HACIOSMAN,Normal,1,1,TAM,Tam Abonman,SISLI,M2
72,2024-04-01,00,1,OTOYOL,KADIKOY-KAYISDAGI MAHALLESI,Aktarma,2,2,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,19
73,2024-04-01,00,2,RAYLI,BAHARIYE-OLIMPIYAT,Normal,1,1,TAM,Tam Kontur,BAGCILAR,M9
74,2024-04-01,00,1,OTOYOL,GUNESLI-EMINONU,Aktarma,1,1,TAM,Tam Aktarma,BAKIRKOY,97GE
75,2024-04-01,00,1,OTOYOL,CIRCIR METRO - EMINONU,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,50P
76,2024-04-01,00,1,OTOYOL,ALTUNIZADE-SULTANBEYLI,Normal,2,2,INDIRIMLI1,Indirimli Kontur,ATASEHIR,11ÃœS
77,2024-04-01,00,1,OTOYOL,KADIKOY-ALEMDAG,Normal,2,2,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,14A
78,2024-04-01,00,1,OTOYOL,CEBECI - TAKSIM,Normal,4,2,TAM,Tam Kontur,SARIYER,36T
79,2024-04-01,00,1,OTOYOL,BAHCEKOY-TAKSIM,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,42T
80,2024-04-01,00,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,7,6,TAM,Tam Kontur,USKUDAR,34A
81,2024-04-01,00,1,OTOYOL,SULTAN CIFTLIGI - EMINONU,Normal,2,2,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,336E
82,2024-04-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Abonman,BAHCELIEVLER,34
83,2024-04-01,00,1,OTOYOL,HACI OSMAN METRO -  RUMELI FENERI,Normal,1,1,TAM,Tam Kontur,ATASEHIR,150
84,2024-04-01,00,1,OTOYOL,YENIDOGAN/ATASEHIR - KADIKOY,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,ATASEHIR,19EK
85,2024-04-01,00,1,OTOYOL,MESCIDI SELAM - BESIKTAS,Normal,2,2,TAM,Tam Abonman,BAKIRKOY,36L
86,2024-04-01,00,1,OTOYOL,ALTUNIZADE-SULTANBEYLI,Aktarma,1,1,TAM,Tam Aktarma,BAKIRKOY,11ÃœS
87,2024-04-01,00,1,OTOYOL,TOPKAPI - BESIKTAS,Normal,1,1,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,28T
88,2024-04-01,00,1,OTOYOL,ISTINYE DEREICI-TAKSIM,Aktarma,2,2,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,40T
89,2024-04-01,00,1,OTOYOL,ALTUNIZADE-SULTANBEYLI,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,11ÃœS
90,2024-04-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Tam Kontur,BEYLIKDUZU,34
91,2024-04-01,00,2,RAYLI,KIRAZLI-BASAKSEHIR/METROKENT,Normal,1,1,INDIRIMLI1,Tam Kontur,BAGCILAR,M3
92,2024-04-01,00,1,OTOYOL,K.S.SULEYMAN EGT.ARS.HST-SOGUTLU CESME-Z.BURNU METRO,Normal,5,5,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,89A
93,2024-04-01,00,1,OTOYOL,TUZLA-TOPKAPI,Normal,2,2,TAM,Tam Abonman,BAKIRKOY,500T
94,2024-04-01,00,1,OTOYOL,CIHANGIR MAH. - AVCILAR - OTOGAR,Normal,1,1,UCRETSIZ,Tam Kontur,BAKIRKOY,76O
95,2024-04-01,00,1,OTOYOL,KADIKOY-KAYISDAGI,Normal,6,5,TAM,Tam Kontur,BAKIRKOY,319
96,2024-04-01,00,1,OTOYOL,ATESTUGLA - BEYAZIT,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,92B
97,2024-04-01,00,2,RAYLI,YENIKAPI - HACIOSMAN,Normal,1,1,UCRETSIZ,Ucretsiz,SARIYER,M2
98,2024-04-01,00,1,OTOYOL,EMINONU -KULAKSIZ,Normal,1,1,INDIRIMLI2,Tam Kontur,BAKIRKOY,EM2
99,2024-04-01,00,1,OTOYOL,GAZIOSMANPASA -TAKSIM,Aktarma,1,1,INDIRIMLI2,Indirimli Tip 2 Aktarma,BAKIRKOY,55T
100,2024-04-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,SISLI,34
101,2024-04-01,00,1,OTOYOL,SAHINTEPE - AVCILAR-CIHANGIR MAH.,Normal,4,4,INDIRIMLI1,Indirimli Abonman,KUCUKCEKMECE,147
102,2024-04-01,00,1,OTOYOL,BOGAZKOY MH.-BAHCESEHIR-BAKIRKOY,Normal,18,18,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,146
103,2024-04-01,00,1,OTOYOL,HACI OSMAN METRO - KISIRKAYA,Normal,1,1,INDIRIMLI1,Indirimli Kontur,SARIYER,152
104,2024-04-01,00,1,OTOYOL,KADIKOY-ESENSEHIR,Normal,2,2,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,14ES
105,2024-04-01,00,2,RAYLI,YENIKAPI - HAVALIMANI,Normal,3,3,TAM,Tam Kontur,FATIH,M1
106,2024-04-01,00,1,OTOYOL,YENIBOSNAMETRO-TAKSIM,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,73
107,2024-04-01,00,1,OTOYOL,ATESTUGLA - BEYAZIT,Aktarma,1,1,TAM,Tam Aktarma,BAKIRKOY,92B
108,2024-04-01,00,1,OTOYOL,KADIKOY-RASATHANE-ANADOLU HISARI,Normal,11,11,TAM,Tam Kontur,BAKIRKOY,14R
109,2024-04-01,00,1,OTOYOL,KADIKOY-SARIGAZI-YENIDOGAN,Normal,2,2,UCRETSIZ,Ucretsiz,BAKIRKOY,19S
110,2024-04-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,TAM,Tam Kontur,AVCILAR,34
111,2024-04-01,00,2,RAYLI,USKUDAR-CEKMEKOY,Normal,2,1,TAM,Tam Kontur,SANCAKTEPE,M5
112,2024-04-01,00,1,OTOYOL,KADIKOY-USKUDAR,Normal,4,4,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,12A
113,2024-04-01,00,1,OTOYOL,HACI OSMAN METRO - KISIRKAYA,Normal,9,9,INDIRIMLI1,Indirimli Abonman,SARIYER,152
114,2024-04-01,00,1,OTOYOL,ADEM YAVUZ MAH-ZIVERBEY-KADIKOY,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,14B
115,2024-04-01,00,1,OTOYOL,KADIKOY-ALEMDAG,Normal,2,1,UCRETSIZ,Tam Kontur,BAKIRKOY,14A
116,2024-04-01,00,1,OTOYOL,KADIKOY-USKUDAR,Normal,11,11,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,12A
117,2024-04-01,00,1,OTOYOL,ATESTUGLA - MECIDIYEKOY,Normal,2,2,TAM,Tam Kontur,BAKIRKOY,92Åž
118,2024-04-01,00,1,OTOYOL,SEYRANTEPE - TOPKAPI,Normal,3,3,UCRETSIZ,Ucretsiz,BAKIRKOY,41ST
119,2024-04-01,00,1,OTOYOL,BOGAZKOY MAH.- AVCILAR METROBUS,Normal,1,1,TAM,Tam Abonman,BAKIRKOY,142
120,2024-04-01,00,1,OTOYOL,SULTANBEYLI-MECIDIYEKOY,Normal,36,36,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,522ST
121,2024-04-01,00,1,OTOYOL,GUNESLI - BEYAZIT,Normal,16,14,TAM,Tam Kontur,BAKIRKOY,97
122,2024-04-01,00,1,OTOYOL,HADIMKOY- I.U AVCILAR KAMPUS,Normal,3,3,TAM,Tam Kontur,BAKIRKOY,418
123,2024-04-01,00,1,OTOYOL,ALTUNIZADE-SULTANBEYLI,Normal,5,5,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,11ÃœS
124,2024-04-01,00,1,OTOYOL,CEBECI PERONLAR - SISLI,Normal,1,1,TAM,Tam Abonman,BAKIRKOY,49
125,2024-04-01,00,1,OTOYOL,SULTANBEYLI-YAKACIK-KARTAL,Normal,2,2,TAM,Tam Kontur,BAKIRKOY,132C
126,2024-04-01,00,1,OTOYOL,GULTEPE - SISLI,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,65G
127,2024-04-01,00,2,RAYLI,KABATAS-MAHMUTBEY,Normal,8,7,TAM,Tam Kontur,,M7
128,2024-04-01,00,1,OTOYOL,TOKATKOY - USKUDAR,Normal,2,2,TAM,Tam Abonman,BAKIRKOY,15T
129,2024-04-01,00,1,OTOYOL,KADIKOY-CAKMAK MAH-ATASEHIR,Normal,3,3,TAM,Tam Abonman,BAKIRKOY,13
130,2024-04-01,00,2,RAYLI,USKUDAR-CEKMEKOY,Normal,4,3,INDIRIMLI1,Tam Kontur,USKUDAR,M5
131,2024-04-01,00,2,RAYLI,EMINONU-ALIBEYKOY,Normal,1,1,PERSONEL,Tam Abonman,FATIH,T5
132,2024-04-01,00,1,OTOYOL,FATIH SULTAN MEHMET- SISLI,Normal,1,1,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,59N
133,2024-04-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,INDIRIMLI1,Indirimli Kontur,ZEYTINBURNU,34
134,2024-04-01,00,1,OTOYOL,SAHINTEPESI - YENIBOSNA METRO,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,HT20
135,2024-04-01,00,1,OTOYOL,USKUDAR-YENI MAHALLE,Normal,1,1,INDIRIMLI1,Tam Kontur,BAKIRKOY,15Y
136,2024-04-01,00,1,OTOYOL,ORTAKOY-DEREBOYU- TAKSIM,Normal,1,1,INDIRIMLI1,Tam Kontur,BAKIRKOY,DT2
137,2024-04-01,00,2,RAYLI,KIRAZLI-BASAKSEHIR/METROKENT,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BASAKSEHIR,M3
138,2024-04-01,00,1,OTOYOL,BESIKTAS - MECIDIYEKOY,Aktarma,2,2,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,30M
139,2024-04-01,00,1,OTOYOL,HALKALI ISTASYON - EMINONU,Aktarma,2,2,TAM,Tam Aktarma,BAKIRKOY,BN1
140,2024-04-01,00,1,OTOYOL,KADIKOY-USKUDAR,Normal,3,2,INDIRIMLI1,Tam Kontur,BAKIRKOY,12A
141,2024-04-01,00,2,RAYLI,KABATAS-MAHMUTBEY,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BESIKTAS,M7
142,2024-04-01,00,1,OTOYOL,RUMELI KAVAGI - HACI OSMAN METRO,Normal,1,1,TAM,Tam Kontur,SARIYER,25A
143,2024-04-01,00,1,OTOYOL,S.GOKCEN H.LIMANI-YENISEHIR-KOZYATAGI,Normal,1,1,INDIRIMLI1,Tam Kontur,SARIYER,16S
144,2024-04-01,00,1,OTOYOL,HALKALI ISTASYON - EMINONU,Normal,3,3,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,BN1
145,2024-04-01,00,1,OTOYOL,SULTANBEYLI-MECIDIYEKOY,Normal,14,12,TAM,Tam Kontur,BAKIRKOY,522ST
146,2024-04-01,00,1,OTOYOL,HADIMKOY- I.U AVCILAR KAMPUS,Normal,3,3,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,418
147,2024-04-01,00,1,OTOYOL,YENIDOGAN/ATASEHIR - KADIKOY,Normal,2,2,TAM,Tam Abonman,ATASEHIR,19EK
148,2024-04-01,00,1,OTOYOL,HADIMKOY- I.U AVCILAR KAMPUS,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,418
149,2024-04-01,00,2,RAYLI,KADIKOY-KARTAL,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,PENDIK,M4
150,2024-04-01,00,1,OTOYOL,YENIDOGAN-TOPKAPI KALEICI,Normal,2,1,INDIRIMLI1,Tam Kontur,BAKIRKOY,522B
151,2024-04-01,00,1,OTOYOL,ADEM YAVUZ MAH-ZIVERBEY-KADIKOY,Normal,1,1,INDIRIMLI1,Tam Kontur,BAKIRKOY,14B
152,2024-04-01,00,1,OTOYOL,GUNESLI - BEYAZIT,Normal,10,10,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,97
153,2024-04-01,00,1,OTOYOL,SULTANBEYLI(GOLET)- KADIKOY,Normal,3,3,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,18K
154,2024-04-01,00,1,OTOYOL,ALTUNIZADE-SULTANBEYLI,Aktarma,1,1,UCRETSIZ,Tam Aktarma,BAKIRKOY,11ÃœS
155,2024-04-01,00,2,RAYLI,YENIKAPI - HAVALIMANI,Normal,2,2,TAM,Tam Abonman,FATIH,M1
156,2024-04-01,00,2,RAYLI,KABATAS-MAHMUTBEY,Aktarma,6,6,TAM,Tam Aktarma,,M7
157,2024-04-01,00,1,OTOYOL,ATESTUGLA - MECIDIYEKOY,Normal,4,4,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,92Åž
158,2024-04-01,00,1,OTOYOL,GURPINARâ€“ AVCILAR METROBUS,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,458
159,2024-04-01,00,1,OTOYOL,HACI OSMAN METRO -  RUMELI FENERI,Normal,4,4,INDIRIMLI1,Indirimli Kontur,ATASEHIR,150
160,2024-04-01,00,1,OTOYOL,YENIDOGAN/ATASEHIR - KADIKOY,Normal,3,3,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,19EK
161,2024-04-01,00,2,RAYLI,TOPKAPI-HABIBLER,Normal,2,2,INDIRIMLI1,Indirimli Abonman,SULTANGAZI,T4
162,2024-04-01,00,3,DENÄ°Z,Y.KADIKOY-EMINONU,Normal,3,3,TAM,Tam Kontur,KADIKOY,Y.KADIKOY-EMN
163,2024-04-01,00,1,OTOYOL,GUNESLI - BEYAZIT,Aktarma,6,6,TAM,Tam Aktarma,BAKIRKOY,97
164,2024-04-01,00,1,OTOYOL,KADIKOY-RASATHANE-ANADOLU HISARI,Normal,2,2,TAM,Tam Abonman,BAKIRKOY,14R
165,2024-04-01,00,1,OTOYOL,YENIDOGAN/ATASEHIR - KADIKOY,Normal,2,2,UCRETSIZ,Ucretsiz,BAKIRKOY,19EK
166,2024-04-01,00,1,OTOYOL,KADIKOY-FINDIKLI MAHALLESI-YEDITEPE UNIVERSITESI,Normal,1,1,UCRETSIZ,Tam Kontur,BAKIRKOY,19F
167,2024-04-01,00,1,OTOYOL,HALKALI EGT.ARS.HAST - BAKIRKOY,Normal,3,3,UCRETSIZ,Ucretsiz,BAKIRKOY,98S
168,2024-04-01,00,2,RAYLI,EMINONU-ALIBEYKOY,Aktarma,1,1,TAM,Tam Aktarma,FATIH,T5
169,2024-04-01,00,1,OTOYOL,GAZIOSMANPASA -TAKSIM,Normal,3,3,TAM,Tam Abonman,BAKIRKOY,55T
170,2024-04-01,00,1,OTOYOL,BASAKSEHIR METROKENT - BAKIRKOY,Aktarma,4,4,TAM,Tam Aktarma,BAKIRKOY,98H
171,2024-04-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,3,3,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,34
172,2024-04-01,00,1,OTOYOL,CIRCIR METRO - EMINONU,Normal,4,4,UCRETSIZ,Ucretsiz,BAKIRKOY,50P
173,2024-04-01,00,1,OTOYOL,SOGUTLUCESME - ZEYTINBURNU METRO,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,89S
174,2024-04-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,34
175,2024-04-01,00,1,OTOYOL,ISTINYE DEREICI-TAKSIM,Aktarma,2,2,TAM,Tam Aktarma,BAKIRKOY,40T
176,2024-04-01,00,1,OTOYOL,CEBECI - TAKSIM,Normal,3,3,TAM,Tam Abonman,ATASEHIR,36T
177,2024-04-01,00,1,OTOYOL,SOGUTLUCESME - ZEYTINBURNU METRO,Normal,2,2,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,89S
178,2024-04-01,00,1,OTOYOL,KADIKOY-SIFA MAHALLESI,Normal,1,1,INDIRIMLI1,Tam Kontur,BAKIRKOY,130Åž
179,2024-04-01,00,2,RAYLI,KABATAS-BAGCILAR,Aktarma,1,1,TAM,Tam Aktarma,BAKIRKOY,T1
